id,season,city,citystadium,date,Home,team1,team2,toss_winner,Toss,winner_text,winner,Bat1,Bat2,Bat3,Bat4,Bat5,Bat6,Bat7,Bat8,Bat9,Bat10,Bat11,Bowl1,Bowl2,Bowl3,Bowl4,Bowl5,Bowl6,Bowl7,Bowl8,Bowl9,Bowl10,Bowl11
48,2017,Chandigarh,Punjab,5/9/2017,1,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,0,Kings XI Punjab,1, 1.857197,-3.93042,2.024574,-1.71292,-2.12308,2.301252,-11.7891,2.333967,-5.65714,-0.24334,7.973795,-22.4878,3.25,-3.25,0,4.85,5.000417,-16.6092,-1.14675,-2.17967,1.208333,5.445
49,2017,Kanpur,Gujarat,5/10/2017,0,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,1,Delhi Daredevils,0,0.632611871,2.320143486,5.620726247,-0.237210147,6.482387714,1.636857195,-0.476896881,-1.100960371,-1.843057555,-0.195328151,-3.631092697,-3.25,3.25,12.143,-2.479166667,-8.203333333,10.30391667,0.526833333,0.221083333,9.545,-1.556083333,-14.632
50,2017,Mumbai,Mumbai,5/11/2017,0,Kings XI Punjab,Mumbai Indians,Mumbai Indians,0,Kings XI Punjab,0,8.129731378,-1.66957216,0.710450668,-1.528668697,4.692260385,-1.155643915,-0.378361541,3.870675113,-6.486643956,1.701111418,5.221893491,16.52916667,0,-11.35,16.2805,0.091416667,3.233333333,0.122583333,0.295583333,-0.881666667,4.251916667,-0.119916667
51,2017,Delhi,Delhi,5/12/2017,1,Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils,1,Delhi Daredevils,1,-4.450784532,-0.099368973,-3.504214135,-3.483753246,-0.35252332,-12.07064015,-2.225400857,4.7440461,1.887301587,-1.076227444,2.384938851,-3.25,4.166666667,0,-3.96125,-8.315916667,8.203333333,-0.661333333,3.273666667,-8.718916667,-6.906666667,19.17408333
52,2017,Kanpur,Gujarat,5/13/2017,0,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,1,Sunrisers Hyderabad,0,-6.920457285,-1.841516502,3.623320577,3.813076562,4.978545479,11.96488676,-4.979400071,0.299739674,-1.236519045,4.56469428,0,-6.5,-0.65625,-4.1195,0.770833333,-3.888333333,5.880166667,8.93,-6.687,-2.919416667,2.655333333,-10.8625
53,2017,Kolkata,Kolkata,5/13/2017,0,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,0,Mumbai Indians,0,-5.433167588,-1.984363539,-0.495904805,0.209218435,-0.418219021,4.397456952,-7.923017302,-2.52303706,0.737198548,0.984015247,-1.650169618,15.98775,-16.52916667,-13.0305,-6.375,-12.39225,10.58416667,-2.28125,-0.020833333,-0.312916667,-0.657,3.83
54,2017,Pune,Pune,5/14/2017,1,Kings XI Punjab,Rising Pune Supergiant,Rising Pune Supergiant,1,Rising Pune Supergiant,1,6.956601924,-1.079163327,-1.175641311,7.943425949,4.842091347,-5.568512101,-7.945817271,-0.304615385,-2.352688386,-1.118832891,-8.163736264,6.5,-7.416666667,0,3.25,-1.492333333,8.308,-2.525416667,0.664583333,-0.629166667,6.341083333,0.758333333
55,2017,Delhi,Delhi,5/14/2017,0,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,1,Royal Challengers Bangalore,0,-7.954988837,7.806577032,-5.179360768,-1.134482341,-5.011338419,4.69855543,-8.928760775,-2.462290552,0.364260461,0.965192674,1.543185005,-11.33425,3.25,3.5,-11.17416667,11.45333333,8.835833333,-3.866083333,2.498583333,-10.8925,-2.209166667,-0.888833333
56,2017,Mumbai,Mumbai,5/16/2017,0,Rising Pune Supergiant,Mumbai Indians,Mumbai Indians,0,Rising Pune Supergiant,0,1.173129454,-0.590408833,-0.353027386,-12.34418107,-3.688954403,1.655403707,13.77527483,3.500169231,5.090869228,3.773790463,3.180473373,10.02916667,7.416666667,16.2805,8.91375,12.39225,-10.26916667,-2.232416667,5.87875,17.64375,3.658583333,-3.5075
57,2017,Bangalore,Bangalore,5/17/2017,0,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,1,Kolkata Knight Riders,0,4.742777311,0.440951935,-1.858782489,-2.436575264,1.749896907,0.547895361,-5.34052709,4.443147784,-1.99623451,-0.336843761,0.018639053,0,7.15625,-15.6925,12.7515,0,2.416666667,-2.394416667,-5.337916667,3.468,-2.421416667,2.8435
